Country Name,Country Code,"Unemployment, total (% of total labor force) (modeled ILO estimate)","School enrollment, secondary (% net)","School enrollment, primary (% net)","School enrollment, tertiary (% gross)",World Development Indicators,Access to electricity (% of population),GDP per capita (current US$),"Mortality rate, under-5 (per 1,000 live births)","Life expectancy at birth, total(years)",CO2 emissions (metric tons per capita),"Annual freshwater withdrawals, total (% of internal resources)",Rail lines (total route-km),Net migration,Democracy index
France,FRA,"8,41","70,5507","74,046175","67,73313141","1,842971814",100,"40494,8983",..,"72,04366",..,..,28157,17403,"8,12"
Faroe Islands,FRO,,0,0,,"4,952850177",100,"63382,7531","16,5","74,863","2,8210","7,05",,580,
"Micronesia, Fed. Sts.",FSM,,0,"21,36425",,"1,174799228","80,0837021","3699,08151",..,"77,717",..,..,,-1283,
Gabon,GAB,"20,695",0,0,"19,6197319","3,920808795","90,3191452","7523,86228","24,6","73,129","1,1454","3,044048",648,2230,"3,61"
United Kingdom,GBR,"3,74","48,816925","74,76955","65,96456146","1,604308648",100,"42747,0805",104,"59,72","0,3508","0,393805",16295,221179,"8,52"
Georgia,GEO,"11,57","93,4679","97,9539","69,01641083","4,982350475",100,"4696,15059","79,5","60,882","0,1651","1,09375",1378,-5414,"5,42"
Ghana,GHA,"3,463","56,18115","86,33315","17,43388939","6,507774794","83,5","2167,92544","29,4","69,124","3,5003","0,599461",,-21860,"6,63"
Gibraltar,GIB,,"45,8006","24,925475",,,100,,"62,5","64,255","0,2972","11,14784",,-58,
Guinea,GIN,"5,02",0,"19,003975","6,843963146","5,616914469","42,2","1043,89989","17,8","72,881","1,0239","1,772557",,-3243,"3,14"
"Gambia, The",GMB,"4,18",0,"74,6158",,"6,22205316","62,1","722,875351",..,"85,18049",..,..,,-4186,"4,33"
Guinea-Bissau,GNB,"3,175",0,0,,"4,499999992","30,9319954","730,611432","4,1","76,31951","4,8369","74,38458",,-1395,"2,63"
Equatorial Guinea,GNQ,"8,277",0,"10,8708","5,373222351","-5,48182538","66,5712509","7317,39002","2,7","83,16341","4,5435","0,170588",,14695,"1,92"
Greece,GRC,"17,31","69,581375","73,371975","142,3881073","1,884341785",100,"19144,2844","34,3","70,91","1,7525","44,7787",2280,-21581,"7,43"
Grenada,GRD,,"45,81605","23,966575",,"0,676511739","92,9706955","9887,92074","23,8","70,518","2,2453","11,02863",,-190,
Greenland,GRL,,0,0,,"2,832177568",100,"53309,5793","13,5","76,103","7,2230","72,33463",,-338,
Guatemala,GTM,"2,19","43,856375","85,570375","22,65051079","4,017897934","95,4291458","4647,80734","26,2","71,576","4,3473","160,8352",,-58095,"5,26"
Guam,GUM,"5,477",0,0,,"2,595281307",100,"37752,6331","3,3","82,70244","7,2577","3,134082",,-1852,
Guyana,GUY,"13,52",0,0,,"5,352627426","91,6464844","6477,29673",..,"80,737",..,..,,-24678,"6,15"
High income,HIC,"4,772801374","90,493625","96,19745","77,3347168","1,756643828","99,9726382","44727,7346","3,5","82,80488","6,9358","155,2",,4082105,
"Hong Kong SAR, China",HKG,"2,92","92,656475","95,340275","91,84156036","-1,67243165",100,"48359,0033",3,"83,49756","5,3110","18,54521",,0,"6,02"
Honduras,HND,"5,55","31,776125","59,41045","25,12657928","2,653066255","91,1","2519,36619","13,2","71,767","2,9833","12,47344",,-6550,"5,42"
Heavily indebted poor countries (HIPC),HPC,"4,63446813","32,5153","40,250425","8,676199913","4,166104524","45,0546164","980,443937","2,5","84,35634","8,4784","18,23256",,-472979,
Croatia,HRV,"6,62","69,127425","66,1551","68,96237183","3,42100553",100,"15086,2117","15,5","76,044","2,1636","138,0997",2617,-12480,"6,57"
Haiti,HTI,"13,781",0,0,,"-1,723097","45,4395332","1345,47505","10,2","73,18","11,0509","36,5439",,-34635,"4,57"
Hungary,HUN,"3,42","66,8923","68,367625","52,36026001","4,864225735",100,"16786,2136","39,4","62,943","0,3824","19,47826","7587,7",33559,"6,63"
IBRD only,IBD,"5,981254976","73,25305","94,286275","43,81618118","3,988179159","97,8739578","6450,7602","51,4","67,15","0,5924",..,,-1665510,
IDA & IBRD total,IBT,"5,717657886","63,03785","88,50575","33,9015007","3,979987863","88,6559603","5131,96672","17,3","73,198","2,1568","12,92209",,-3891389,
IDA total,IDA,"4,813361551","40,9519",0,"11,80694008","3,879343618","62,7388623","1427,76901","3,1","83,22683","11,8253","45,02236",,-2225879,
IDA blend,IDB,"5,21497405","43,61145",0,"11,00226974","2,769534604","74,093625","1874,58463","11,2","79,022",..,..,,-1487064,
Indonesia,IDN,"3,59","38,62575","70,0917","37,92596817","5,01928768","98,85","4151,22755","8,8","79,685","21,1352",..,5483,-40567,"6,48"
IDA only,IDX,"4,633770893","39,591275","81,415925","12,2130003","4,820672343","57,0978623","1206,138","18,3","71,6","1,5516","15,75107",,-738815,
Isle of Man,IMN,,0,0,,"0,25488493",100,"87152,453","45,8","68,138","2,6582","3,860294",,239,
India,IND,"6,51",0,0,"27,89007378","3,871436941","95,8859406","2050,16379",4,"75,3878","3,9550","1,054481","67414,07",-593495,"6,9"
Not classified,INX,,0,0,,,,,"8,7","79,236","4,6553","37,75",,,
Ireland,IRL,"4,95","73,726825","71,8506",,"5,440937334",100,"80927,0747","77,2","54,173","1,0334","0,837476",1888,29113,"9,24"
"Iran, Islamic Rep.",IRN,"10,74","40,387","74,775925","59,95137024","-2,65820666",100,"3276,75327","80,6","61,104","0,2299","0,07295",9454,-34571,"2,38"
Iraq,IRQ,"15,11",0,0,,"5,513790575","99,9910278","5621,18169","11,5","72,463","8,3258","817,1429",,-29880,"3,74"
Iceland,ISL,"3,51","67,749325","74,4638","70,60935211","1,805161042",100,"68403,1448",..,"84,16098","3,8726",..,,5152,"9,58"
Israel,ISR,"3,8","74,05265","72,7385","55,94453812","4,156137989",100,"44452,2326","3,8","76,28293","4,2002","1,645472","1598,916",16132,"7,86"
Italy,ITA,"9,95","71,32445","72,05795","65,6893692","0,483198317",100,"33673,751","2,8","82,63902","15,3230","4,93","16778,6",21615,"7,52"
Jamaica,JAM,"4,99","72,929","83,13955",,"0,892291654","98,9303055","5626,1704",..,"84,978",..,..,,-11329,"6,96"
Jordan,JOR,"16,8","31,12495","59,428925","31,59873009","1,751239735","99,9","4159,67141","66,1","65,882","0,1427","3,993323",,28963,"3,93"
Japan,JPN,"2,35",0,0,"62,11849976","-0,4021692",100,"40415,9568","45,6","64,119","0,0871","8,406444",,183953,"7,99"
Kazakhstan,KAZ,"4,8","99,1367","86,875525","59,58197784","4,5",100,"9812,59554","7,9","75,76","7,4650","1,156379","16060,8",-37080,"2,94"
Kenya,KEN,"5,01",0,0,"10,56947041","5,114158858","69,7","1970,08006",7,"80,116","3,9633","15,66667",,-61946,"5,18"
Kyrgyz Republic,KGZ,"4,25","82,563075","89,640325","41,55659485","4,600625666","99,8846741","1374,03114","103,1","59,664","0,1914","8,643333",424,-34270,"4,89"
Cambodia,KHM,"0,146",0,"92,208925","13,54044342","7,054106932",84,"1671,3854","6,1","82,85854","3,2905","80,99906",,-55607,"3,53"
Kiribati,KIR,,0,"71,983575",,"-2,16216216","89,2557526","1410,01509","31,8","64,746","3,4050",..,,-691,
St. Kitts and Nevis,KNA,,"49,0947","23,4463",,"4,047063509",100,"23219,409","43,2","65,687","0,8725","337,05",,-191,
"Korea, Rep.",KOR,"3,75","73,46515","73,025425","93,99891663","2,24397786",100,"31902,4169","15,9","74,23585","3,2968","21,6285","4109,15",110799,8
Kuwait,KWT,"2,156","21,63235","87,8118","50,47005844","-0,55195933",100,"30666,2207","14,2","74,202","3,6122","21,84621",,9088,"3,93"
Latin America & Caribbean (excluding high income),LAC,"8,131909089","77,043625","93,685975","50,76924133","0,68219381","97,8545772","8184,42457","26,4","71,077","1,3306",..,,380712,
Lao PDR,LAO,"3,273","58,674775","93,212575","13,76587391","5,457735092","98,3973465","2598,50552","14,7","70,935","3,3487","51,79012",,-10303,"2,14"
Lebanon,LBN,"11,3",0,0,"50,3490181","-6,91492473","99,9504852","8925,42186","3,1",..,..,..,,-237572,"4,36"
Liberia,LBR,"3,017","3,922875","11,0639",,"-2,46729764","23,1","665,878448",16,"71,822","7,1608","1,328736",,-19697,"5,45"
Libya,LBY,"19,612",0,0,,"-11,1956946","68,4728928","10542,429","2,7","76,68293","4,1816",..,,-1352,"2,02"
St. Lucia,LCA,"15,32","80,3824","94,818975","16,01026917","-0,64997029",100,"11726,6771","19,5","74,27","1,9553","36,45862",,0,
Latin America & Caribbean,LCN,"7,983433531","77,278225","93,58905","53,1361618","0,738665341","98,0048344","8713,54365","73,5","61,166","0,2486","1,468594",,-424522,
Least developed countries: UN classification,LDC,"4,798019691","37,816375","81,0013","10,74433041","4,859785104","52,9900324","1089,87178","44,8","66,61","0,6409","3,313821",,-926233,
Low income,LIC,"5,144135701","33,62035","60,6032","9,197480202","3,81860776","41,8414437","681,746858","41,9","63,075","1,7642","4,576299",,211518,
Liechtenstein,LIE,,"67,171675","46,60535","42,27378082",,100,"167259,16","29,6","63,484","4,4016",..,,178,
