Country Name,Country Code,"Unemployment, total (% of total labor force) (modeled ILO estimate)","School enrollment, secondary (% net)","School enrollment, primary (% net)","School enrollment, tertiary (% gross)",World Development Indicators,Access to electricity (% of population),GDP per capita (current US$),"Mortality rate, under-5 (per 1,000 live births)","Life expectancy at birth, total(years)",CO2 emissions (metric tons per capita),"Annual freshwater withdrawals, total (% of internal resources)",Rail lines (total route-km),Net migration,Democracy index
Finland,FIN,"8,82","95,9347","99,0559","89,32800293","2,811457767",100,"43814,0265",..,"81,702",..,..,5926,17210,"9,03"
Fiji,FJI,"4,32",,"96,7621",,"2,445651797","93,4159393","5368,43366","4,4","81,38780488","6,203487","17,47586",,-11139,"5,64"
France,FRA,"10,05","93,9558","98,8217","64,72767639","1,095464404",100,"37062,5336",..,"71,82512195",..,..,"29236,65",14729,"7,92"
Faroe Islands,FRO,,,,,"1,469915804",100,"56833,9144","16,3","74,762","2,312322","7,05",,537,
"Micronesia, Fed. Sts.",FSM,,,,,"0,900180417","74,7632828","3022,65363",..,"76,877",..,..,,-1348,
Gabon,GAB,"20,668",,,,"2,091442208","88,0797348","6722,19822","27,3","72,355","1,102618","3,044048",810,7395,"3,74"
United Kingdom,GBR,"4,81",,"99,6521","58,59590149","2,165206211",100,"41146,0774","110,1","58,763","0,235228","0,372294",16257,246940,"8,36"
Georgia,GEO,"16,6","92,4141","97,8812","57,38505936","2,90643878",100,"4062,12698","88,6","59,674","0,166253","1,09375",1415,-10591,"5,93"
Ghana,GHA,"5,106","55,4389","86,3803","15,78081036","3,37346575","79,3","1900,39784","32,2","68,384","3,265238","0,599461",,7014,"6,75"
Gibraltar,GIB,,"89,3628","99,7019",,,100,,"68,2","63,392","0,314037","11,14784",,-101,
Guinea,GIN,"4,833",,"76,0159","8,637948036","10,8206272","33,5","720,473255","19,8","72,588","1,098713","1,772557",,-14196,"3,14"
"Gambia, The",GMB,"5,959",,"73,6466",,"1,943359655","56,350769","640,67627",..,"84,22682927",..,..,,-3477,"2,91"
Guinea-Bissau,GNB,"3,151",,,,"6,262805638","22,9145374","642,66639","4,7","76,06341463","4,508691","65,98333",,-1392,"1,98"
Equatorial Guinea,GNQ,"8,227",,,,"-8,816417232","66,2391357","8035,30767","2,7","82,20487805","4,868247","0,152941",,17109,"1,7"
Greece,GRC,"23,54","92,4849","97,9422","127,0802917","-0,487173294",100,"17923,9668",41,"70,117","1,639914","44,7787",2240,-27234,"7,23"
Grenada,GRD,,,,"93,22190094","3,739603956","91,8078003","8849,51354","26,6","69,798","1,848304","11,02863",,-190,
Greenland,GRL,,,,,"4,68195411",100,"48181,8742",15,"75,6","7,288966","72,33463",,-374,
Guatemala,GTM,"2,58","43,9208","84,595","16,12379265","2,677802555","91,7658691","4173,2813","28,8","68,988","3,702551","109,4034",,-39266,"5,92"
Guam,GUM,"5,4",,,,"0,181983621",100,"35052,8079","3,6","81,65365854","8,203376","2,60839",,-1852,
Guyana,GUY,"13,475",,,,"3,807918837","88,9990997","5905,3802",..,"80,314",..,..,,-6311,"6,25"
High income,HIC,"6,15214185","90,5365","96,4333","75,88697052","1,841982809","99,9487935","40436,3619","3,8","82,40731707","7,633162","159,8667",,3973186,
